testId,graphId,strength,approach,coverageCriteria,experimentRepeatId,time,size,seedSize,noOfNodes,noOfEdges,noOfEntities,noOfEntitiesCoveredBySeed
1,135,3,generate-and-cover,t_cover,1,56.0150299072,18,0,114,161,52,0
2,135,3,generate-and-cover,t*_cover,1,3777.4393611,78,32,114,161,16020,15661
3,135,3,generate-and-cover,t_order,1,7879.83661699,101,0,114,161,15971,0
4,135,3,generate-and-cover,t+_cover,1,3612.9087441,74,27,114,161,15968,15541
5,135,3,cover-and-generate,t_cover,1,27.6560270786,7,4,114,161,52,42
6,135,3,cover-and-generate,t_cover,2,27.7493879795,7,4,114,161,52,42
7,135,3,cover-and-generate,t_cover,3,42.154031992,7,4,114,161,52,43
8,135,3,cover-and-generate,t_cover,4,28.828261137,7,4,114,161,52,42
9,135,3,cover-and-generate,t_cover,5,46.2067089081,7,4,114,161,52,43
10,135,3,cover-and-generate,t*_cover,1,1386.45496392,35,13,114,161,16020,15464
11,135,3,cover-and-generate,t*_cover,2,1528.20871305,34,14,114,161,16020,15497
12,135,3,cover-and-generate,t*_cover,3,2054.14466,33,13,114,161,16020,15469
13,135,3,cover-and-generate,t*_cover,4,1473.98801994,34,13,114,161,16020,15413
14,135,3,cover-and-generate,t*_cover,5,2398.18256593,34,13,114,161,16020,15371
15,135,3,cover-and-generate,t_order,1,468.499907017,34,13,114,161,15971,15530
16,135,3,cover-and-generate,t_order,2,436.257359028,33,13,114,161,15971,15569
17,135,3,cover-and-generate,t_order,3,462.65576005,33,12,114,161,15971,15365
18,135,3,cover-and-generate,t_order,4,534.967182159,32,12,114,161,15971,15370
19,135,3,cover-and-generate,t_order,5,710.144809008,32,12,114,161,15971,15455
20,135,3,cover-and-generate,t+_cover,1,1220.12044811,30,13,114,161,15968,15461
21,135,3,cover-and-generate,t+_cover,2,1363.72615886,35,13,114,161,15968,15342
22,135,3,cover-and-generate,t+_cover,3,1391.76397109,33,14,114,161,15968,15503
23,135,3,cover-and-generate,t+_cover,4,1482.88220596,33,13,114,161,15968,15437
24,135,3,cover-and-generate,t+_cover,5,1360.19977689,34,13,114,161,15968,15466
25,163,3,generate-and-cover,t_cover,1,1122.43854809,92,0,780,1126,193,0
26,163,3,cover-and-generate,t_cover,1,590.89602685,32,15,780,1126,193,127
27,163,3,cover-and-generate,t_cover,2,636.727362871,33,15,780,1126,193,123
28,163,3,cover-and-generate,t_cover,3,601.710330963,35,15,780,1126,193,123
29,163,3,cover-and-generate,t_cover,4,645.463678122,33,15,780,1126,193,122
30,163,3,cover-and-generate,t_cover,5,598.087037086,32,15,780,1126,193,125
31,163,3,cover-and-generate,t*_cover,1,28724.9777901,368,76,780,1126,68598,58356
32,163,3,cover-and-generate,t_order,1,17377.726923,345,70,780,1126,68425,59351
33,163,3,cover-and-generate,t_order,2,18047.090723,346,70,780,1126,68425,59308
34,163,3,cover-and-generate,t_order,3,18906.577673,343,71,780,1126,68425,58838
35,163,3,cover-and-generate,t_order,4,17732.382895,354,71,780,1126,68425,58615
36,163,3,cover-and-generate,t_order,5,19803.8782659,351,73,780,1126,68425,59210
37,163,3,cover-and-generate,t+_cover,1,20724.0002739,349,70,780,1126,68405,58975
38,163,3,cover-and-generate,t+_cover,2,17477.3020539,350,72,780,1126,68405,59244
39,41,3,generate-and-cover,t_cover,1,52.076048851,18,0,87,131,57,0
40,41,3,generate-and-cover,t*_cover,1,2958.01319003,86,35,87,131,4116,3804
41,41,3,generate-and-cover,t_order,1,2700.64366412,69,0,87,131,4065,0
42,41,3,generate-and-cover,t_order,2,2700.64366412,69,0,87,131,4065,0
43,41,3,generate-and-cover,t+_cover,1,2312.96929002,81,25,87,131,4059,3743
44,41,3,cover-and-generate,t_cover,1,52.8278038502,9,4,87,131,57,42
45,41,3,cover-and-generate,t_cover,2,47.1086189747,9,5,87,131,57,46
46,41,3,cover-and-generate,t_cover,3,51.7065889835,8,4,87,131,57,41
47,41,3,cover-and-generate,t_cover,4,52.2606868744,8,4,87,131,57,43
48,41,3,cover-and-generate,t_cover,5,52.7075738907,9,4,87,131,57,41
49,41,3,cover-and-generate,t*_cover,1,819.763812065,22,8,87,131,4116,3485
50,41,3,cover-and-generate,t*_cover,2,835.285923958,23,8,87,131,4116,3578
51,41,3,cover-and-generate,t*_cover,3,703.163164854,21,6,87,131,4116,3448
52,41,3,cover-and-generate,t*_cover,4,791.004230976,21,7,87,131,4116,3304
53,41,3,cover-and-generate,t*_cover,5,885.864489079,23,8,87,131,4116,3432
54,41,3,cover-and-generate,t_order,1,248.682568073,16,6,87,131,4065,3489
55,41,3,cover-and-generate,t_order,2,283.025738955,19,6,87,131,4065,3511
56,41,3,cover-and-generate,t_order,3,256.637080908,17,6,87,131,4065,3514
57,41,3,cover-and-generate,t_order,4,260.045077085,18,6,87,131,4065,3399
58,41,3,cover-and-generate,t_order,5,300.061658144,17,6,87,131,4065,3538
59,41,3,cover-and-generate,t+_cover,1,410.399646044,18,6,87,131,4059,3659
60,41,3,cover-and-generate,t+_cover,2,607.130103827,17,6,87,131,4059,3519
61,41,3,cover-and-generate,t+_cover,3,580.778741121,16,5,87,131,4059,3544
62,41,3,cover-and-generate,t+_cover,4,419.517305851,18,6,87,131,4059,3530
63,41,3,cover-and-generate,t+_cover,5,614.396331072,16,6,87,131,4059,3480
64,75,3,generate-and-cover,t_cover,1,1408.4743681,90,0,2748,4029,229,0
65,75,3,cover-and-generate,t_cover,1,858.823324203,36,17,2748,4029,229,159
66,75,3,cover-and-generate,t_cover,2,993.777437925,40,17,2748,4029,229,156
67,75,3,cover-and-generate,t_cover,3,1012.07803798,40,17,2748,4029,229,151
68,75,3,cover-and-generate,t_cover,4,1047.91661,40,17,2748,4029,229,151
69,75,3,cover-and-generate,t_cover,5,1043.85224199,39,17,2748,4029,229,156
70,75,3,cover-and-generate,t*_cover,1,126520.217682,562,92,2748,4029,210505,169619
71,75,3,cover-and-generate,t_order,1,70319.2765379,536,87,2748,4029,210294,174472
72,75,3,cover-and-generate,t+_cover,1,112028.922888,546,87,2748,4029,210276,169308
73,91,2,generate-and-cover,t_cover,1,6.53901791573,3,0,34,38,18,0
74,91,2,generate-and-cover,t*_cover,1,210.741451979,15,0,34,38,240,0
75,91,2,generate-and-cover,t_order,1,101.540904045,15,0,34,38,224,0
76,91,2,generate-and-cover,t_order,2,101.540904045,15,0,34,38,224,0
77,91,2,generate-and-cover,t+_cover,1,157.914699078,12,0,34,38,222,0
78,91,2,cover-and-generate,t_cover,1,6.5844039917,2,0,34,38,18,0
79,91,2,cover-and-generate,t_cover,2,6.84036493301,2,0,34,38,18,0
80,91,2,cover-and-generate,t_cover,3,6.41468787193,2,0,34,38,18,0
81,91,2,cover-and-generate,t_cover,4,6.08806109428,2,0,34,38,18,0
82,91,2,cover-and-generate,t_cover,5,7.01654291153,2,0,34,38,18,0
83,91,2,cover-and-generate,t*_cover,1,101.152325869,5,0,34,38,240,0
84,91,2,cover-and-generate,t*_cover,2,111.373998165,4,0,34,38,240,0
85,91,2,cover-and-generate,t*_cover,3,103.419925928,5,0,34,38,240,0
86,91,2,cover-and-generate,t*_cover,4,108.3494699,4,0,34,38,240,0
87,91,2,cover-and-generate,t*_cover,5,109.52081418,5,0,34,38,240,0
88,91,2,cover-and-generate,t_order,1,12.7904279232,3,0,34,38,224,0
89,91,2,cover-and-generate,t_order,2,12.7864398956,3,0,34,38,224,0
90,91,2,cover-and-generate,t_order,3,12.2274260521,3,0,34,38,224,0
91,91,2,cover-and-generate,t_order,4,13.074999094,3,0,34,38,224,0
92,91,2,cover-and-generate,t_order,5,13.1981329918,3,0,34,38,224,0
93,91,2,cover-and-generate,t+_cover,1,96.265196085,3,0,34,38,222,0
94,91,2,cover-and-generate,t+_cover,2,95.7168319225,4,0,34,38,222,0
95,91,2,cover-and-generate,t+_cover,3,90.6800458431,3,0,34,38,222,0
96,91,2,cover-and-generate,t+_cover,4,102.15614295,3,0,34,38,222,0
97,91,2,cover-and-generate,t+_cover,5,95.6814219952,3,0,34,38,222,0
98,141,3,generate-and-cover,t_cover,1,13.405436039,8,0,40,47,24,0
99,141,3,generate-and-cover,t*_cover,1,273.784013033,17,15,40,47,3328,3326
100,141,3,generate-and-cover,t_order,1,74.1208291054,30,0,40,47,3307,0
