testId,sut,strength,approach,seed,seedSize,size,noOfEntities,noOfEntitiesCoveredBySeed,experimentRepeatId,time,producedObjectType
1,xfig,2,cover_and_generate,1wayStructuralCoveringArray,8,19,3081,12324,4,0.144,StandardCoveringArray
2,xfig,2,cover_and_generate,1wayStructuralCoveringArray,8,19,3081,12324,4,0.144,StandardCoveringArray
3,xfig,2,cover_and_generate,1wayStructuralCoveringArray,8,19,3081,12324,4,0.144,StandardCoveringArray
4,xfig,2,cover_and_generate,1wayStructuralCoveringArray,8,19,3081,12324,4,0.144,StandardCoveringArray
5,xfig,2,cover_and_generate,1wayStructuralCoveringArray,8,19,3081,12324,4,0.144,StandardCoveringArray
6,vim,3,cover_and_generate,3wayStructuralCoveringArray,247,271,79079,632632,4,1.396,StandardCoveringArray
7,vim,3,cover_and_generate,3wayStructuralCoveringArray,247,271,79079,632632,4,1.396,StandardCoveringArray
8,vim,3,cover_and_generate,3wayStructuralCoveringArray,247,271,79079,632632,4,1.396,StandardCoveringArray
9,vim,3,cover_and_generate,3wayStructuralCoveringArray,247,271,79079,632632,4,1.396,StandardCoveringArray
10,vim,3,cover_and_generate,3wayStructuralCoveringArray,247,271,79079,632632,4,1.396,StandardCoveringArray
11,vim,1,cover_and_generate,2wayStandardCoveringArray,16,19,265,261,1,3.14202404022,structuralCoveringArray
12,vim,1,cover_and_generate,2wayStandardCoveringArray,16,19,265,261,2,3.38027310371,structuralCoveringArray
13,vim,1,cover_and_generate,2wayStandardCoveringArray,16,19,265,261,3,3.11684203148,structuralCoveringArray
14,vim,1,cover_and_generate,2wayStandardCoveringArray,16,19,265,261,4,3.18424892426,structuralCoveringArray
15,vim,1,cover_and_generate,2wayStandardCoveringArray,16,19,265,261,5,3.12421298027,structuralCoveringArray
16,python,3,generate_and_cover,2wayStructuralCoveringArray,37,167,1571096,1488309,1,27021.2212229,structuralCoveringArray
17,python,3,generate_and_cover,2wayStructuralCoveringArray,35,172,1571096,1460304,2,53085.8005371,structuralCoveringArray
18,python,3,generate_and_cover,2wayStructuralCoveringArray,36,178,1571096,1462559,3,52932.2213008,structuralCoveringArray
19,python,3,generate_and_cover,2wayStructuralCoveringArray,36,163,1571096,1494894,4,23926.000946,structuralCoveringArray
20,python,3,generate_and_cover,2wayStructuralCoveringArray,36,172,1571096,1480955,5,35588.121845,structuralCoveringArray
21,xterm,1,cover_and_generate,2wayStandardCoveringArray,13,14,78,74,1,0.631785869598,structuralCoveringArray
22,xterm,1,cover_and_generate,2wayStandardCoveringArray,13,14,78,74,2,0.627593040466,structuralCoveringArray
23,xterm,1,cover_and_generate,2wayStandardCoveringArray,13,14,78,74,3,0.641351938248,structuralCoveringArray
24,xterm,1,cover_and_generate,2wayStandardCoveringArray,13,14,78,74,4,0.636662006378,structuralCoveringArray
25,xterm,1,cover_and_generate,2wayStandardCoveringArray,13,14,78,74,5,0.641839027405,structuralCoveringArray
26,mpsolve,2,cover_and_generate,1wayStructuralCoveringArray,3,10,91,364,4,0.082,StandardCoveringArray
27,mpsolve,2,cover_and_generate,1wayStructuralCoveringArray,3,10,91,364,4,0.082,StandardCoveringArray
28,mpsolve,2,cover_and_generate,1wayStructuralCoveringArray,3,10,91,364,4,0.082,StandardCoveringArray
29,mpsolve,2,cover_and_generate,1wayStructuralCoveringArray,3,10,91,364,4,0.082,StandardCoveringArray
30,mpsolve,2,cover_and_generate,1wayStructuralCoveringArray,3,10,91,364,4,0.082,StandardCoveringArray
31,pidgin,2,cover_and_generate,1wayStructuralCoveringArray,4,14,1378,5512,4,0.116,StandardCoveringArray
32,pidgin,2,cover_and_generate,1wayStructuralCoveringArray,4,14,1378,5512,4,0.116,StandardCoveringArray
33,pidgin,2,cover_and_generate,1wayStructuralCoveringArray,4,14,1378,5512,4,0.116,StandardCoveringArray
34,pidgin,2,cover_and_generate,1wayStructuralCoveringArray,4,14,1378,5512,4,0.116,StandardCoveringArray
35,pidgin,2,cover_and_generate,1wayStructuralCoveringArray,4,14,1378,5512,4,0.116,StandardCoveringArray
36,xfig,2,generate_and_cover,noSeed,0,45,32966,0,1,1338.23406982,structuralCoveringArray
37,xfig,2,generate_and_cover,noSeed,0,48,32966,0,2,1400.65329194,structuralCoveringArray
38,xfig,2,generate_and_cover,noSeed,0,45,32966,0,3,1459.08130813,structuralCoveringArray
39,xfig,2,generate_and_cover,noSeed,0,46,32966,0,4,1328.24156404,structuralCoveringArray
40,xfig,2,generate_and_cover,noSeed,0,46,32966,0,5,1252.66125298,structuralCoveringArray
41,irissi,2,cover_and_generate,1wayStructuralCoveringArray,4,13,435,1740,4,0.06,StandardCoveringArray
42,irissi,2,cover_and_generate,1wayStructuralCoveringArray,4,13,435,1740,4,0.06,StandardCoveringArray
43,irissi,2,cover_and_generate,1wayStructuralCoveringArray,4,13,435,1740,4,0.06,StandardCoveringArray
44,irissi,2,cover_and_generate,1wayStructuralCoveringArray,4,13,435,1740,4,0.06,StandardCoveringArray
45,irissi,2,cover_and_generate,1wayStructuralCoveringArray,4,13,435,1740,4,0.06,StandardCoveringArray
46,python,3,cover_and_generate,2wayStructuralCoveringArray,34,60,50116,400928,4,0.763,StandardCoveringArray
47,python,3,cover_and_generate,2wayStructuralCoveringArray,34,60,50116,400928,4,0.763,StandardCoveringArray
48,python,3,cover_and_generate,2wayStructuralCoveringArray,34,60,50116,400928,4,0.763,StandardCoveringArray
49,python,3,cover_and_generate,2wayStructuralCoveringArray,34,60,50116,400928,4,0.763,StandardCoveringArray
50,python,3,cover_and_generate,2wayStructuralCoveringArray,34,60,50116,400928,4,0.763,StandardCoveringArray
51,mpsolve,2,cover_and_generate,3wayStructuralCoveringArray,39,39,91,364,4,0.058,StandardCoveringArray
52,mpsolve,2,cover_and_generate,3wayStructuralCoveringArray,39,39,91,364,4,0.058,StandardCoveringArray
53,mpsolve,2,cover_and_generate,3wayStructuralCoveringArray,39,39,91,364,4,0.058,StandardCoveringArray
54,mpsolve,2,cover_and_generate,3wayStructuralCoveringArray,39,39,91,364,4,0.058,StandardCoveringArray
55,mpsolve,2,cover_and_generate,3wayStructuralCoveringArray,39,39,91,364,4,0.058,StandardCoveringArray
56,parrot,1,cover_and_generate,noSeed,0,10,191,0,1,2.0137989521,structuralCoveringArray
57,parrot,1,cover_and_generate,noSeed,0,10,191,0,2,1.8441798687,structuralCoveringArray
58,parrot,1,cover_and_generate,noSeed,0,10,191,0,3,1.96033000946,structuralCoveringArray
59,parrot,1,cover_and_generate,noSeed,0,10,191,0,4,1.94327783585,structuralCoveringArray
60,parrot,1,cover_and_generate,noSeed,0,10,191,0,5,1.97930598259,structuralCoveringArray
61,parrot,2,generate_and_cover,noSeed,0,58,15489,0,1,1047.06361008,structuralCoveringArray
62,parrot,2,generate_and_cover,noSeed,0,58,15489,0,2,1015.08284807,structuralCoveringArray
63,parrot,2,generate_and_cover,noSeed,0,58,15489,0,3,965.240668058,structuralCoveringArray
64,parrot,2,generate_and_cover,noSeed,0,55,15489,0,4,756.445924997,structuralCoveringArray
65,parrot,2,generate_and_cover,noSeed,0,60,15489,0,5,602.088562965,structuralCoveringArray
66,gimp,3,cover_and_generate,noSeed,0,272,987286,0,1,1448.5526762,structuralCoveringArray
67,gimp,3,cover_and_generate,noSeed,0,266,987286,0,2,2348.96195912,structuralCoveringArray
68,gimp,3,cover_and_generate,noSeed,0,279,987286,0,3,1484.12539983,structuralCoveringArray
69,gimp,3,cover_and_generate,noSeed,0,274,987286,0,4,1331.27874303,structuralCoveringArray
70,gimp,3,cover_and_generate,noSeed,0,273,987286,0,5,1615.15026593,structuralCoveringArray
71,gimp,2,cover_and_generate,2wayStructuralCoveringArray,47,50,3081,12324,4,0.231,StandardCoveringArray
72,gimp,2,cover_and_generate,2wayStructuralCoveringArray,47,50,3081,12324,4,0.231,StandardCoveringArray
73,gimp,2,cover_and_generate,2wayStructuralCoveringArray,47,50,3081,12324,4,0.231,StandardCoveringArray
74,gimp,2,cover_and_generate,2wayStructuralCoveringArray,47,50,3081,12324,4,0.231,StandardCoveringArray
75,gimp,2,cover_and_generate,2wayStructuralCoveringArray,47,50,3081,12324,4,0.231,StandardCoveringArray
76,parrot,2,cover_and_generate,3wayStructuralCoveringArray,283,287,1275,5100,4,0.253,StandardCoveringArray
77,parrot,2,cover_and_generate,3wayStructuralCoveringArray,283,287,1275,5100,4,0.253,StandardCoveringArray
78,parrot,2,cover_and_generate,3wayStructuralCoveringArray,283,287,1275,5100,4,0.253,StandardCoveringArray
79,parrot,2,cover_and_generate,3wayStructuralCoveringArray,283,287,1275,5100,4,0.253,StandardCoveringArray
80,parrot,2,cover_and_generate,3wayStructuralCoveringArray,283,287,1275,5100,4,0.253,StandardCoveringArray
81,pidgin,2,cover_and_generate,2wayStructuralCoveringArray,33,40,1378,5512,4,0.108,StandardCoveringArray
82,pidgin,2,cover_and_generate,2wayStructuralCoveringArray,33,40,1378,5512,4,0.108,StandardCoveringArray
